Resources Type ,Name of Prevention Service,Center Name,Address,Contact Person,Contact Phone Number,Contact Email,Type of Service Provided,Website (if available),Zip Codes Served,
Domestic Violence Shelters and Interventions,Women's Shelter,Need A Break Inc,,,"469-906-5463 or *24 Hour Hot-Line: 1-800-458-5369   
",,"Provides a safe 
shelter and resources for safe shelters to women with or without 
children,teens and seniors impacted by domestic violence",http://www.needabreakinc.org/default.html,,
Domestic Violence Shelters and Interventions,Women's Shelter,River of Life Homes,,,214-886-3563,,Collaborates with other organizations to provide shelter and support services to women leaving abusive situations.,http://riveroflifehomes.org/,,
Basic Needs Services,Food and Emergency Services,The Wilkinson Center,"3402 N. Buckner Boulevard, Suite 302 Dallas, Texas 75228",,(214) 821-6380 x220,,"Full time case managers who counsel and build a plan of action with every client served. The 
case managers also conduct follow up appointments and track client 
progress. In addition to food assistance, Wilkinson Center has limited 
funds available for emergency needs such as housing and utility 
situations.",http://www.thewilkinsoncenter.org,,
Basic Needs Services,Rent Assistance,Emergency Family Assistance / Salvation Army,"5302 Harry Hines Blvd.
Dallas, Texas 75235",,214-424-7000,,Assist families of Dallas with rent.,http://www.salvationarmyusa.org/,,
Basic Needs Services,Rent Assistance,"Ladies Charity of Dallas, Inc","2710 Samuell Blvd.
Dallas, Texas 75223",,214-821-5775,,Provides short-term emergency assistance with rent as requested by caseworkers of established social service agencies.,http://www.dallascounty.org/department/comcrt/district4/cities/dallas.php,,
Basic Needs Services,Rent Assistance,White Rock Center of Hope,"10021 Garland Rd.
Dallas, Texas 75218",,214-324-8996,,"Provides financial assistance once a year, service residents in zip codes 75214, 75218, 75223, 75228, 75238",http://www.whiterockcenterofhope.org/,,
Basic Needs Services,Housing Assistance ,Dallas Urban League,"4315 S. Lancaster Rd., Dallas, TX 75216",,214-915-4600,,,,,
Basic Needs Services,Housing Assistance ,Dallas County Housing Agency,"2377 North Stemmons Freeway, Dallas, Texas 75207",,214-819-1871,,,,,
Basic Needs Services,Housing Assistance ,Housing Crisis Center,"4210 Junuis St., Dallas, Texas 75204",,214-828-4244,,,,,
Basic Needs Services,Utility Assistance,"Dallas County Health and Human Services
Comprehensive Energy Assistance Program (CEAP)","2377 North Stemmons Freeway
Dallas, Texas 75207",,214-819-1848,,"DCHHS assists low income households with elderly and disabled residents who often are most vulnerable to high energy costs, a co-payment utility assistance plan for six to 12 months, an energy-related crisis and retrofit, repair or replacement of inefficient heating/cooling appliances.",http://www.tdhca.state.tx.us/community-affairs/ceap/,,
Basic Needs Services,Utility Assistance,Emergency Family Assistance / Salvation Army,"5302 Harry Hines Blvd.
Dallas, Texas 75235",,214-424-7000,,Assist families of Dallas with help paying utilities.,http://www.salvationarmyusa.org/,,
Basic Needs Services,Utility Assistance,"Ladies Charity of Dallas, Inc","2710 Samuell Blvd.
Dallas, Texas 75223",,214-821-5775,,Provides short-term emergency assistance with utilities as requested by caseworkers of established social service agencies.,http://www.dallascounty.org/department/comcrt/district4/cities/dallas.php,,
Basic Needs Services,Food Bank,Emergency Family Assistance / Salvation Army,"5302 Harry Hines Blvd.
Dallas, Texas 75235",,214-424-7000,,Temporary assist families with emergency food,http://www.salvationarmyusa.org/,,
Basic Needs Services,Food Bank,"Ladies Charity of Dallas, Inc","2710 Samuell Blvd.
Dallas, Texas 75223",,214-821-5775,,"Provided short-term emergency assistance with food, as requested by caseworkers of established social service agencies",http://www.dallascounty.org/department/comcrt/district4/cities/dallas.php,,
Basic Needs Services,Food Bank,White Rock Center of Hope,"10021 Garland Rd.
Dallas, Texas 75218",,214-324-8996,,"Provides food assistance once a year, service residents in zip codes 75214, 75218, 75223, 75228, 75238",http://www.whiterockcenterofhope.org/,,
Basic Needs Services,Food Bank,St. Vincent Center,"3826 Gilbert Ave.
Dallas, Texas 75219",,214-521-7790,,"Provides Casework, food meal program (breakfast only) for homeless individuals at 8am. Serves zip codes: 75201, 75204, 75205, 75207, 75209, 75219, 75235",http://svdpdallas.org/,,
Basic Needs Services,Food Bank,"Jewish Family Service, Greater Dallas",5402 Arapaho Road,,972-437-9950,,Free Food Bank,http://www.jfsdallas.org/,,
Basic Needs Services,Food Bank,Urban Inter-Tribal Center of Texas,"209 E. Jefferson Blvd.
Dallas, Texas 75203-2690",,214-941-1050,,Provides emergency food for Dallas residents,http://uitct.com/,,
Basic Needs Services,Clothing,Emergency Family Assistance / Salvation Army,"5302 Harry Hines Blvd.
Dallas, Texas 75235",,214-424-7000,,Services: School clothing and shoes provided in emergency situations by referral from visiting teachers.,http://www.salvationarmyusa.org/,,
Basic Needs Services,Clothing,"Ladies Charity of Dallas, Inc","2710 Samuell Blvd.
Dallas, Texas 75223",,214-821-5775,,Provides short-term emergency assistance clothing as requested by caseworkers of established social service agencies,http://www.dallascounty.org/department/comcrt/district4/cities/dallas.php,,
Basic Needs Services,Food and Emergency Services,The Wilkinson Center,"3402 N. Buckner Boulevard, Suite 302 Dallas, Texas 75228",,(214) 821-6380 x220,,"Full time case managers who counsel and build a plan of action with every client served. The 
case managers also conduct follow up appointments and track client 
progress. In addition to food assistance, Wilkinson Center has limited 
funds available for emergency needs such as housing and utility 
situations.",http://www.thewilkinsoncenter.org,,
Basic Needs Services,Bill Assisstance,Need Help Paying Bills,,,,,,http://www.needhelppayingbills.com/html/dallas_county_assistance_progr.html,,
Fatherhood Engagement and Support,Fatherhood Engagement,Father's for Equal Rights,"701 Commerce Street
 Suite 302
 Dallas, Texas 75202",,(214) 953-2233,,"Free access to attorneys, 6 days a week, Low cost document preparation, Discounted process service, Discounted DNA testing, Social study preparation, Trial preparation",https://fathers4kids.com/,,
Fatherhood Engagement and Support,Fatherhood Engagement,Alliance for North Texas Healthy Effective Marriages (ANTHEM),classes offered at various locations in Dallas,,(214) 426-0900,info@anthemnorthtexas.org,"educate, equip and empower men, women and youth to create and sustain healthy and effective marriages, families and relationships.  ",,,
Health Services,Health Clinic,"AID ARMS Peabody Health
Center Inc.","219 Sunset Avenue, Suite 116-A ",,(972) 807-7370,,Outpatient Health Facility,http://www.aidsarms.org/,75208,
Health Services,Health Clinic,North Oak Cliff Y&F Center,501 S.Edgefield Ave,,,,Outpatient--Youth and Family,,75208,
Health Services,Health Clinic,"COPC-DeHaro Saldivar Health
Center",1400 N. Westomoreland,,214.266.0500,,"Outpatient Health Facility --
COPC",http://www.parklandhospital.com/phhs/locations/deharosaldivar-health-center-2.aspx,75211,
Health Services,Health Clinic,"deHaro-Saldivar Women's
Health Center","1400 N. Westomoreland
",,214.266.0500,,"Family Planning and Women's
Health",http://www.parklandhospital.com/phhs/locations/deharosaldivar-health-center-2.aspx,75211,
Health Services,Health Clinic,"Children's Health Pediatric
Group - Cockrell Hill",4351 DFW Turnpike,,469) 488-4300,,Outpatient--Pediatric,https://www.childrens.com/location-landing/locations-and-directions/pediatric-group/cockrell-hill,75211,
Health Services,Health Clinic,"Children's Health Pediatric
Group - Oak Cliff","3434 W. Illinois Ave., Suite 306-3",,(214) 623-1900,,Outpatient--Pediatric,https://www.childrens.com/location-landing/locations-and-directions/pediatric-group/oak-cliff,75211,
Health Services,Health Clinic,Cockrell Hill Immunizations,"Anson Jones Elementary School 
3901 Meredith St.",,,,Immunization Clinic,,75211,
Health Services,Health Clinic,"Community Dental Center at
DeHaro-Saldivar Health Center",1400 N. Westomoreland,,214.266.0500,,Dental Clinic,http://www.parklandhospital.com/phhs/locations/deharosaldivar-health-center-2.aspx,75211,
Health Services,Health Clinic,Calumet Community Center,321A Calumet Ave,,214-467-1966, jmira@calumetcenter.org,Dental Clinic,https://calumetcommunitycenter.wordpress.com/,75211,
Health Services,Health Clinic,"Los Barrios Unidos 
Community Clinic",809 Singleton Blvd.,,(214) 651-8691,,"Outpatient Health Facility--
FQHC",http://losbarriosunidos.org/,75212,
Health Services,Health Clinic,"Dallas Pregnancy Resource
Center",3901 Holystone,,(214) 905-9068,,Prenatal Care,http://thrivewomensclinic.com/,75212,
Health Services,Health Clinic,"Los Barrios Unidos 
Community Clinic",809 Singleton Blvd.,,(214) 651-8691,,Prenatal Care,http://losbarriosunidos.org/,75212,
Health Services,Health Clinic,"Dallas Pregnancy Resource
Center","3901 Holystone
",,(214) 905-9068,,"Family Planning and Women's
Health",http://thrivewomensclinic.com/,75212,
Health Services,Health Clinic,"Los Barrios Unidos
Community Clinic",809 Singleton Blvd.,,(214) 651-8691,,"Family Planning and Women's 
Health",http://losbarriosunidos.org/,75212,
Health Services,Health Clinic,"Los Barrios Unidos
Community Clinic",809 Singleton Blvd.,,(214) 651-8691,,Outpatient--Pediatric,http://losbarriosunidos.org/,75212,
Health Services,Health Clinic,West Dallas Y&F Center,3131 N.Hampton Rd,,214.266.2300,,Outpatient--Youth and Family,http://www.parklandhospital.com/phhs/locations.aspx?taxonomy=youth-family-centers,75212,
Health Services,Health Clinic,"Henry Wade Juvenile Justice
Center",2600 Lone Star Dr,,(214) 698-2285,,Criminal Justice Health Service,http://www.dallascounty.org/,75212,
Health Services,Health Services,St. Vincent Center,"3826 Gilbert Ave.
Dallas, Texas 75219",,214-521-7790,,Assist the homeless individual with clothing,http://svdpdallas.org/,,
Health Services,Health Services,"Martin Luther King, Jr. Community Center","2922 MLK Jr. Blvd.
Dallas, Texas 75215",,214-670-8355,,"A multipurpose center, through the city of Dallas Environmental and Health Services and other agencies in the community, provides a variety of health, education and human services",http://dallascityhall.com/departments/housingcommunityservices/Pages/mlk.aspx,,
Health Services,Health Clinic,"Los Barrios Unidos
Community Clinic",809 Singleton Blvd.,,(214) 651-8691,,Dental Clinic,http://losbarriosunidos.org/,75212,
Health Services,Health Clinic,Lakewest Family YMCA,3737 Goldman,,(214) 630-9880,,Recreation,https://www.ymcadallas.org/locations/lakewest/,75212,
Health Services,Health Clinic,"West Dallas Community
Centers, Inc.","3232 Bataan St, Dallas, TX 75212",,(214) 742-2753,,Recreation,,75212,
Health Services,Health Clinic,"Parkland Health Center:
Adamson Youth & Family Center","W.H. Adamson High School
309 E. Ninth Street
",,214.266.0955,,"Adolecent & Pediatric Modules
Laboratory, Pharmacy 
Family Planning",http://www.parklandhospital.com/phhs/locations.aspx?taxonomy=youth-family-centers,,
Health Services,Health Clinic,"Parkland Health Center
Amelia Flores Youth & Family Health Center","Bryan Adams High School
9941 Lingo Lane",,972.502.4100,,"Adolecent & Pediatric Modules
Laboratory, Pharmacy 
Family Planning",http://www.parklandhospital.com/phhs/locations.aspx?taxonomy=youth-family-centers,,
Health Services,Health Clinic,"Parkland Health Center
Balch Springs Youth & Family Center","Balch Springs Middle School
710 Cheyenne Road",,214.266.0258,,"Adolecent & Pediatric Modules
Laboratory, Pharmacy 
Family Planning",http://www.parklandhospital.com/phhs/locations.aspx?taxonomy=youth-family-centers,,
Health Services,Health Clinic,"Parkland Health Center
Eddie Bernice Johnson Youth & Family Center","Billy Earl Dade Middle School
2727 Al Lipscomb Way",,214.266.0275,,"Adolecent & Pediatric Modules
Laboratory, Pharmacy 
Family Planning",http://www.parklandhospital.com/phhs/locations.aspx?taxonomy=youth-family-centers,,
Health Services,Health Clinic,"Parkland Health Center
Fair Oaks Youth & Family Center","Conrad High School
7502 Fair Oaks Avenue",,214.266.0200,,"Adolecent & Pediatric Modules
Laboratory, Pharmacy 
Family Planning",http://www.parklandhospital.com/phhs/locations.aspx?taxonomy=youth-family-centers,,
Health Services,Health Clinic,"Parkland Health Center
Kiosco Youth & Family Center","Cary Middle School
10034 Hedgeway Dr.",,972.502.4060,,"Adolecent & Pediatric Modules
Laboratory, Pharmacy 
Family Planning",http://www.parklandhospital.com/phhs/locations.aspx?taxonomy=youth-family-centers,,
Health Services,Health Clinic,"Parkland Health Center
Red Bird Youth & Family Center","T.W. Browne
3803 Boulder Dr.",,972.502.4020,,"Adolecent & Pediatric Modules
Laboratory, Pharmacy 
Family Planning",http://www.parklandhospital.com/phhs/locations.aspx?taxonomy=youth-family-centers,,
Health Services,Health Clinic,"Parkland Health Center
Seagoville Youth & Family Center","Seagoville Middle School
15800 Seagoville Road",,972.892.7180,,"Adolecent & Pediatric Modules
Laboratory, Pharmacy 
Family Planning",http://www.parklandhospital.com/phhs/locations.aspx?taxonomy=youth-family-centers,,
Health Services,Health Clinic,"Parkland Health Center
Vivian Field Youth & Family Health Center","Vivian Field Middle School
13551 Dennis Lane
Farmers Branch, TX  7523",,214.266.2305,,"Adolecent & Pediatric Modules
Laboratory, Pharmacy 
Family Planning",http://www.parklandhospital.com/phhs/locations.aspx?taxonomy=youth-family-centers,,
Health Services,Health Clinic,"Parkland Health Center
West Dallas Youth & Family Health Center","Pinkston High School
3131 N. Hampton Road",,214.266.2300,,"Adolecent & Pediatric Modules
Laboratory, Pharmacy 
Family Planning",http://www.parklandhospital.com/phhs/locations.aspx?taxonomy=youth-family-centers,,
Health Services,Health Clinic,"Parkland Health Center
Wilmer-Hutchins Youth & Family Center","Wilmer-Hutchins High School
5520 Langdon Rd.",,972.925.2990,,"Adolecent & Pediatric Modules
Laboratory, Pharmacy 
Family Planning",http://www.parklandhospital.com/phhs/locations.aspx?taxonomy=youth-family-centers,,
Health Services,Health Clinic,"Parkland Health Clinic
Woodrow Youth & Family Health Center","Woodrow Wilson High School
6006 Reiger Avenue",,972.502.4120,,"Adolecent & Pediatric Modules
Laboratory, Pharmacy 
Family Planning",http://www.parklandhospital.com/phhs/locations.aspx?taxonomy=youth-family-centers,,
Health Services,Mental Health,"The Stephen McManus Family
Mental Health Clinic",210 West 10th Street,,,,Mental Health--Outpatient,,75208,
Health Services,Mental Health,"Dallas Challenge, Inc.",201 S.Tyler Street,,,,Substance Abuse--Outpatient,,75208,
Health Services,Mental Health,"F.S.C., Inc.","219B Sunset Ave., Suite 101",,,,Substance Abuse--Outpatient,,75208,
Health Services,Mental Health,White Rock Center of Hope,"10021 Garland Rd., Dallas, TX 75218",,214-324-8996,,,,,
Health Services,Mental Health,"Dallas County Juvenile
Probation Department",414 South R.L. Thornton Frwy,,,,Substance Abuse--Outpatient,,75212,
Health Services,Mental Health,"Dallas County Juvenile
Probation Department",2600 Lone Star Dr,,,,Substance Abuse--Residential,,75212,
Health Services,Mental Health,Mental Health America of Greater Dallas,"624 N. Good Latimer Expy., Ste. 200","
",214-871-2420,,Support Groups,http://www.mhadallas.org/programs-events-overview/support-groups/,,
Basic Needs Services,Mental Health Services,Mental Health America of Greater Dallas,"624 N. Good Latimer Expy., Ste. 200
Dallas, TX 75204",,214-871-2420,,Portal to legitimate WHO recognized mental health services in DFW area.,http://www.mhadallas.org/,,
Health Services,Mental Health,National Alliance on Mental Illness Dallas,2812 Swiss Ave,"
",(214) 341-7133,,"Mental Health Education and Supports
Family-to-Family
Peer-to-Peer
Veterans",http://www.namidallas.org/,,
Health Services,Mental Health,"Jewish Family Service, Greater Dallas", 5402 Arapaho Road,, 972-437-9950, info@JFSdallas.org,"Mental Health Supports for children, teens, adults, older adults, special needs",http://www.jfsdallas.org/,,
Health Services,Mental Health,Child And Family Guidance Centers,"8915 Harry Hines Blvd.
Dallas, TX 75235",,(214) 351-3490,,"Adolescent/Youth Counseling, Child Guidance, Individual Counseling, 
Mental Health Evaluation, Parenting Education, Supportive Therapies",http://www.childrenandfamilies.org/,,
Health Services,Mental Health,"Urban Inter-Tribal Center of Texas, 209 E. Jefferson Blvd., Dallas, TX 75203",,,214-941-1050,,,,,
Health Services,Mental Health,Children First Counseling Center,"202 College St     
Grand Prairie, TX 75050",,(972) 264-0604 ,,"Adolescent/Youth Counseling, Child Guidance, Crime Prevention, Family 
Violence Counseling, Mentoring Programs, Parenting Education, Supportive
 Therapies",http://www.childrenfirstinc.org/,,
Health Services,Mental Health,Christian Works,"5440 Harvest Hill Rd #140
Dallas, TX",,1-800-375-2229,,"Child Guidance, Family Planning, Individual Counseling",http://www.christian-works.org/,,
Health Services,Mental Health,Counseling Institute of Texas,"3200 Southern Drive, Suite 100
Garland, TX  75043",,972-271-4300,susan.cit@verizon.net,"Family or Individual Counseling & Therapy
Court Mandated Programs",https://citexas.wordpress.com/,,
Health Services,Mental Health,North Texas Behavioral Health Authority,"1201 Richardson, Ste 270
Richardson, TX, 75080",,"Phone 214-366-9407
Toll Free 877-653-6363",info@ntbha.org,Behavior and Mental Health Services,http://www.ntbha.org/index.aspx,,
Workforce Development,Workforce Development,"Jewish Family Service, Greater Dallas", 5402 Arapaho Road,, 972-437-9950, info@JFSdallas.org,Job and Employment services,http://www.jfsdallas.org/,,
Workforce Development,Workforce Development,PrideStaff,"14850 Quorum Drive
Suite 325",,972.661.1616,dallas@pridestaff.com,Professional Growth and development,https://pridestaff.com/ndallas,,
Workforce Development,Workforce Development,Dallas Employment Services,750 N. St. Paul Street #1180,,214.954.0700,,"Direct hire placements, temp-to-hire placements, short term and ASAP temporary assignments
Career and resume guidance
Candidate screening
Video interviews
Skills testing
Private interviewing facilities
Payroll services",http://www.des-inc.com/,,
Workforce Development,Workforce Development,Workforce Solutions Greater Dallas,"Ross Tower
500 N. Akard
Suite 3030
Dallas, TX 75201
http://www.wfsdallas.com/find-center/#centers",,(214) 290-1000,info@wfsdallas.com,"Provides job seekers comprehensive
solutions to employment",http://www.wfsdallas.com/about,,
Workforce Development,Workforce Development,"Shared Housing Center
","402 N. Good Latimer Expressway
Dallas, Texas 75204",,214.821.8510,services@sharedhousing.org,"Educational and training classes in Nutrition,
Personal Hygiene, and First Aid;Access to employment and educational
opportunities and resources; andTutorial assistance to school-age
children and adults enrolled in classes",http://www.sharedhousing.org/transition.html,,
Workforce Development,Workforce Development,Dallas Urban League,"4315 S. Lancaster Rd., Dallas, Texas 75216",,214-915-4600,,,,,
Workforce Development,Workforce Development,Family Gateway,"600 Jackson Street
Dallas, TX 75202",,(214) 823-4500              ,info@familygateway.org,"Work Readiness, Life Skills, Financial Literacy",http://familygateway.org/,,
Workforce Development,Workforce Development,"Goodwill Industries of Dallas, Inc.","3020 N. Westmoreland Rd.
Dallas, Texas 75212",,214.638.2800,give@goodwilldallas.org,Job Service and Placement Programs,http://www.goodwilldallas.org/Employment,,
Workforce Development,Workforce Development,Our Friends Place,"2501 Oak Lawn Avenue, Suite 500
Dallas, TX 75219",,214.520.6268,info@ourfriendsplace.org,"A supportive home. You share an apartment with two other young 
women. You will have your own bedroom and share a living room, kitchen 
and bathroom.A chance to increase your education, job skills and life skills.",http://www.ourfriendsplace.org/,,
Workforce Development,Workforce Development,"Catholic Charities of Dallas, Inc.","9461 LBJ Freeway, Suite 128
Dallas, Texas 75243",,214.520.6590,,Refugee and Immigration services,http://www.catholiccharitiesdallas.org/,,
Workforce Development,Workforce Development,DGMIHaven,"3109 Longbow Dr
Grand Prarie TX 75052",,214-783-4761,info@dgimhaven.org,"money literacy, financial education, money matters, career counseling, 
resume writing, life issues counseling, setting goals, getting good 
education, counseling on job training",http://www.dgimhaven.org/,,
Workforce Development,Workforce Development,Kids University,"11283 Woodmeadow Pkwy, Dallas, TX 75228",,(214) 503-3672,diana@kids-u.org,"Our Family Services program extends their educational reach to the adults of these communities providing: ESL & GED classes, Adult Computer Literacy Programs, Financial Literacy Programs and Parenting workshops.",,,
Workforce Development,Workforce Development,Verterans Affairs North Texas,"4500 S. Lancaster RD
Dallas TX 75216",,214-742-8387,,Vocational Rehabilitation and Employment,http://www.benefits.va.gov/vocrehab/index.asp,,
